TADPOLE,Harvard-Oxford,AAL,Talairach,Atlas
ST102CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,Paracentral_Lobule_R,Paracentral Lobule,AAL
ST103CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,ParaHippocampal_R,Parahippocampal Gyrus,AAL
ST104CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,Frontal_Inf_Oper_R,Inferior Frontal Gyrus,AAL
ST105CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,Frontal_Inf_Orb_R,Inferior Frontal Gyrus,AAL
ST106CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,Frontal_Inf_Tri_R,Inferior Frontal Gyrus,AAL
ST107CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,nan,UNDETERMINED
ST108CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,Postcentral_R,Postcentral Gyrus,AAL
ST109CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,"Right Cingulate Gyrus, posterior division",Cingulum_Post_R,Posterior Cingulate,AAL
ST10CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,nan,UNDETERMINED
ST110CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,Precentral_R,Precentral Gyrus,AAL
ST111CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,Precuneus_R,Precuneus,AAL
ST113CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,"Right Cingulate Gyrus, anterior division",Cingulum_Ant_R,nan,AAL
ST114CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Right Middle Frontal Gyrus,nan,Brodmann area 46,Talairach
ST115CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Right Superior Frontal Gyrus,Frontal_Sup_R,Superior Frontal Gyrus,AAL
ST116CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Right Superior Parietal Lobule,Parietal_Sup_R,Superior Parietal Lobule,AAL
ST117CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,"Right Superior Temporal Gyrus, anterior division+Right Superior Temporal Gyrus, posterior division",Temporal_Sup_R,Superior Temporal Gyrus,AAL
ST118CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,"Right Supramarginal Gyrus, anterior division+Right Supramarginal Gyrus, posterior division",SupraMarginal_R,Supramarginal Gyrus,AAL
ST119CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Right Temporal Pole,Temporal_Pole_Mid_R,Brodmann area 38,Talairach
ST121CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,"Right Middle Temporal Gyrus, anterior division",Temporal_Mid_R,Transverse Temporal Gyrus,AAL
ST123CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,nan,UNDETERMINED
ST129CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Left Insular Cortex,Insula_L,Insula,AAL
ST130CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Right Insular Cortex,Insula_R,Insula,AAL
ST13CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,nan,UNDETERMINED
ST14CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,"Left Cingulate Gyrus, anterior division",Cingulum_Ant_L,Anterior Cingulate,AAL
ST15CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Left Middle Frontal Gyrus,Frontal_Mid_L,Middle Frontal Gyrus,AAL
ST22CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,Corpus Callosum,Talairach
ST23CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Left Cuneal Cortex,Cuneus_L,Cuneus,AAL
ST24CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,Brodmann area 28,Talairach
ST25CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Left Frontal Pole,Temporal_Pole_Sup_L,Brodmann area 10,AAL
ST26CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,"Left Temporal Fusiform Cortex, anterior division+Left Temporal Fusiform Cortex, posterior division",Fusiform_L,Fusiform Gyrus,AAL
ST28CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,nan,UNDETERMINED
ST31CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,Parietal_Inf_L,Inferior Parietal Lobule,AAL
ST32CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,"Left Inferior Temporal Gyrus, temporooccipital part+Left Inferior Temporal Gyrus, anterior division+Left Inferior Temporal Gyrus, posterior division",Temporal_Inf_L,Inferior Temporal Gyrus,AAL
ST34CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,"Left Cingulate Gyrus, anterior division+Left Cingulate Gyrus, posterior division",nan,Brodmann area 29,Talairach
ST35CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,"Left Lateral Occipital Cortex, superior division+Left Lateral Occipital Cortex, anterior division",Occipital_Mid_L,Occipital Lobe,AAL
ST36CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Left Frontal Orbital Cortex,Frontal_Mid_Orb_L,Orbital Gyrus,AAL
ST38CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Left Lingual Gyrus,Lingual_L,Lingual Gyrus,AAL
ST39CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,Frontal_Med_Orb_L,Orbital Gyrus,AAL
