TADPOLE,Harvard-Oxford,AAL,Talairach,Atlas
ST100SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,nan,UNDETERMINED
ST101SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,Pallidum_R,Lateral Globus Pallidus+Medial Globus Pallidus,AAL
ST112SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,Putamen_R,Putamen,AAL
ST11SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,Hypothalamus,Talairach
ST120SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,Thalamus_R,Thalamus,AAL
ST122SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,nan,UNDETERMINED
ST124SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,nan,UNDETERMINED
ST125SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,nan,UNDETERMINED
ST126SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,nan,UNDETERMINED
ST127SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,Third Ventricle,Talairach
ST128SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,nan,UNDETERMINED
ST12SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,Amygdala_L,Amygdala,AAL
ST16SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,Caudate_L,Caudate,AAL
ST17SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,Left Cerebellum,Talairach
ST18SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,Left Cerebellum,Talairach
ST19SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,nan,UNDETERMINED
ST1SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,Left Brainstem+Right Brainstem,Talairach
ST20SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,nan,UNDETERMINED
ST21SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,nan,UNDETERMINED
ST29SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,Hippocampus_L,Hippocampus,AAL
ST2SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,Corpus Callosum,Talairach
ST30SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,Lateral Ventricle,Talairach
ST33SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,nan,UNDETERMINED
ST37SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,Lateral Ventricle,Talairach
ST3SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,Corpus Callosum,Talairach
ST41SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,nan,UNDETERMINED
ST42SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,Pallidum_L,Lateral Globus Pallidus+Medial Globus Pallidus,AAL
ST4SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,Corpus Callosum,Talairach
ST53SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,Putamen_L,Putamen,AAL
ST5SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,Corpus Callosum,Talairach
ST61SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,Thalamus_L,Thalamus,AAL
ST63SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,nan,UNDETERMINED
ST65SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,nan,UNDETERMINED
ST66SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,nan,UNDETERMINED
ST67SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,nan,UNDETERMINED
ST68SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,nan,UNDETERMINED
ST69SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,Optic Tract,Talairach
ST6SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,Corpus Callosum,Talairach
ST70SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,nan,UNDETERMINED
ST71SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,Amygdala_R,Amygdala,AAL
ST75SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,Caudate_R,Caudate,AAL
ST76SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,Right Cerebellum,Talairach
ST77SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,Right Cerebellum,Talairach
ST78SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,nan,UNDETERMINED
ST79SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,nan,UNDETERMINED
ST7SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,nan,UNDETERMINED
ST80SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,nan,UNDETERMINED
ST88SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,Hippocampus_R,Hippocampus,AAL
ST89SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,Lateral Ventricle,Talairach
ST8SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,nan,UNDETERMINED
ST92SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,nan,UNDETERMINED
ST96SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,Lateral Ventricle,Talairach
ST9SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,Fourth Ventricle,Talairach
