TADPOLE,Harvard-Oxford,AAL,Talairach,Atlas
ST102TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,Paracentral_Lobule_R,Paracentral Lobule,AAL
ST103TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,ParaHippocampal_R,Parahippocampal Gyrus,AAL
ST104TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,Frontal_Inf_Oper_R,Inferior Frontal Gyrus,AAL
ST105TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,Frontal_Inf_Orb_R,Inferior Frontal Gyrus,AAL
ST106TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,Frontal_Inf_Tri_R,Inferior Frontal Gyrus,AAL
ST107TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,nan,UNDETERMINED
ST108TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,Postcentral_R,Postcentral Gyrus,AAL
ST109TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,"Right Cingulate Gyrus, posterior division",Cingulum_Post_R,Posterior Cingulate,AAL
ST110TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,Precentral_R,Precentral Gyrus,AAL
ST111TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,Precuneus_R,Precuneus,AAL
ST113TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,"Right Cingulate Gyrus, anterior division",Cingulum_Ant_R,nan,AAL
ST114TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Right Middle Frontal Gyrus,nan,Brodmann area 46,Talairach
ST115TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Right Superior Frontal Gyrus,Frontal_Sup_R,Superior Frontal Gyrus,AAL
ST116TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Right Superior Parietal Lobule,Parietal_Sup_R,Superior Parietal Lobule,AAL
