TADPOLE,Harvard-Oxford,AAL,Talairach,Atlas
ST102SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,Paracentral_Lobule_R,Paracentral Lobule,AAL
ST103SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,ParaHippocampal_R,Parahippocampal Gyrus,AAL
ST104SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,Frontal_Inf_Oper_R,Inferior Frontal Gyrus,AAL
ST105SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,Frontal_Inf_Orb_R,Inferior Frontal Gyrus,AAL
ST106SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,Frontal_Inf_Tri_R,Inferior Frontal Gyrus,AAL
ST107SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,nan,UNDETERMINED
ST108SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,Postcentral_R,Postcentral Gyrus,AAL
ST109SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,"Right Cingulate Gyrus, posterior division",Cingulum_Post_R,Posterior Cingulate,AAL
ST110SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,Precentral_R,Precentral Gyrus,AAL
ST111SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,Precuneus_R,Precuneus,AAL
ST113SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,"Right Cingulate Gyrus, anterior division",Cingulum_Ant_R,nan,AAL
ST114SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Right Middle Frontal Gyrus,nan,Brodmann area 46,Talairach
ST115SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Right Superior Frontal Gyrus,Frontal_Sup_R,Superior Frontal Gyrus,AAL
ST116SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Right Superior Parietal Lobule,Parietal_Sup_R,Superior Parietal Lobule,AAL
ST117SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,"Right Superior Temporal Gyrus, anterior division+Right Superior Temporal Gyrus, posterior division",Temporal_Sup_R,Superior Temporal Gyrus,AAL
ST118SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,"Right Supramarginal Gyrus, anterior division+Right Supramarginal Gyrus, posterior division",SupraMarginal_R,Supramarginal Gyrus,AAL
ST119SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Right Temporal Pole,Temporal_Pole_Mid_R,Brodmann area 38,Talairach
ST121SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,"Right Middle Temporal Gyrus, anterior division",Temporal_Mid_R,Transverse Temporal Gyrus,AAL
ST123SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,nan,UNDETERMINED
ST129SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Left Insular Cortex,Insula_L,Insula,AAL
ST130SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Right Insular Cortex,Insula_R,Insula,AAL
ST13SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,nan,UNDETERMINED
ST14SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,"Left Cingulate Gyrus, anterior division",Cingulum_Ant_L,Anterior Cingulate,AAL
ST15SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Left Middle Frontal Gyrus,Frontal_Mid_L,Middle Frontal Gyrus,AAL
ST22SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,Corpus Callosum,Talairach
ST23SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Left Cuneal Cortex,Cuneus_L,Cuneus,AAL
ST24SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,Brodmann area 28,Talairach
ST25SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Left Frontal Pole,Temporal_Pole_Sup_L,Brodmann area 10,AAL
ST26SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,"Left Temporal Fusiform Cortex, anterior division+Left Temporal Fusiform Cortex, posterior division",Fusiform_L,Fusiform Gyrus,AAL
ST27SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,nan,UNDETERMINED
ST31SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,Parietal_Inf_L,Inferior Parietal Lobule,AAL
ST32SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,"Left Inferior Temporal Gyrus, temporooccipital part+Left Inferior Temporal Gyrus, anterior division+Left Inferior Temporal Gyrus, posterior division",Temporal_Inf_L,Inferior Temporal Gyrus,AAL
ST34SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,"Left Cingulate Gyrus, anterior division+Left Cingulate Gyrus, posterior division",nan,Brodmann area 29,Talairach
ST35SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,"Left Lateral Occipital Cortex, superior division+Left Lateral Occipital Cortex, anterior division",Occipital_Mid_L,Occipital Lobe,AAL
ST36SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Left Frontal Orbital Cortex,Frontal_Mid_Orb_L,Orbital Gyrus,AAL
ST38SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Left Lingual Gyrus,Lingual_L,Lingual Gyrus,AAL
ST39SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,Frontal_Med_Orb_L,Orbital Gyrus,AAL
ST40SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,"Left Middle Temporal Gyrus, superior division+Left Middle Temporal Gyrus, anterior division",Temporal_Mid_L,Middle Temporal Gyrus,AAL
ST43SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,Paracentral_Lobule_L,Paracentral Lobule,AAL
ST44SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,"Left Parahippocampal Gyrus, superior division+Left Parahippocampal Gyrus, anterior division",ParaHippocampal_L,Parahippocampal Gyrus,AAL
ST45SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,"Left Inferior Frontal Gyrus, pars opercularis",Frontal_Inf_Oper_L,Brodmann area 44,AAL
ST46SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,Frontal_Inf_Orb_L,Brodmann area 47,AAL
ST47SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,"Left Inferior Frontal Gyrus, pars triangularis",Frontal_Inf_Tri_L,Brodmann area 45,AAL
ST48SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,nan,UNDETERMINED
ST49SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Left Postcentral Gyrus,Postcentral_L,Postcentral Gyrus,AAL
ST50SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,"Left Cingulate Gyrus, posterior division",Cingulum_Post_L,Posterior Cingulate,AAL
ST51SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Left Precentral Gyrus,Precentral_L,Precentral Gyrus,AAL
ST52SA_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,Left Precuneous Cortex,Precuneus_L,Precuneus,AAL
