TADPOLE,Harvard-Oxford,AAL,Talairach,Atlas
ST100SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,nan,UNDETERMINED
ST101SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,Pallidum_R,Lateral Globus Pallidus+Medial Globus Pallidus,AAL
ST112SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,Putamen_R,Putamen,AAL
ST11SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,Hypothalamus,Talairach
ST120SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,Thalamus_R,Thalamus,AAL
ST122SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,nan,UNDETERMINED
ST124SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,nan,UNDETERMINED
ST125SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,nan,UNDETERMINED
ST126SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,nan,UNDETERMINED
ST127SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,Third Ventricle,Talairach
ST128SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,nan,UNDETERMINED
ST12SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,Amygdala_L,Amygdala,AAL
ST16SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,Caudate_L,Caudate,AAL
ST17SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,Left Cerebellum,Talairach
ST18SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,Left Cerebellum,Talairach
ST19SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,nan,UNDETERMINED
ST1SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,Left Brainstem+Right Brainstem,Talairach
ST20SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,nan,UNDETERMINED
ST21SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,nan,UNDETERMINED
ST29SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,Hippocampus_L,Hippocampus,AAL
ST2SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,Corpus Callosum,Talairach
ST30SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,Lateral Ventricle,Talairach
ST33SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,nan,UNDETERMINED
ST37SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,Lateral Ventricle,Talairach
ST3SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,Corpus Callosum,Talairach
ST41SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,nan,UNDETERMINED
ST42SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,Pallidum_L,Lateral Globus Pallidus+Medial Globus Pallidus,AAL
ST4SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,Corpus Callosum,Talairach
ST53SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,Putamen_L,Putamen,AAL
ST5SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,Corpus Callosum,Talairach
ST61SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,Thalamus_L,Thalamus,AAL
ST63SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,nan,UNDETERMINED
ST65SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,nan,UNDETERMINED
ST66SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,nan,UNDETERMINED
ST67SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,nan,UNDETERMINED
ST68SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,nan,UNDETERMINED
ST69SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,Optic Tract,Talairach
ST6SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,Corpus Callosum,Talairach
ST70SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,nan,UNDETERMINED
ST71SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,Amygdala_R,Amygdala,AAL
ST75SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,Caudate_R,Caudate,AAL
ST76SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,Right Cerebellum,Talairach
ST77SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,Right Cerebellum,Talairach
ST78SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,nan,UNDETERMINED
ST79SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,nan,UNDETERMINED
ST7SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,nan,UNDETERMINED
ST80SV_UCSFFSX_11_02_15_UCSFFSX51_08_01_16,nan,nan,nan,UNDETERMINED
