Description,Harvard-Oxford,AAL,Talairach,Atlas
Right Non WM Hypo Intensities,,,,UNDETERMINED
Right Pallidum,,Pallidum_R,Lateral Globus Pallidus+Medial Globus Pallidus,AAL
Right Paracentral,,Paracentral_Lobule_R,Paracentral Lobule,AAL
Right Parahippocampal,,ParaHippocampal_R,Parahippocampal Gyrus,AAL
Right Pars Opercularis,,Frontal_Inf_Oper_R,Inferior Frontal Gyrus,AAL
Right Pars Orbitalis,,Frontal_Inf_Orb_R,Inferior Frontal Gyrus,AAL
Right Pars Triangularis,,Frontal_Inf_Tri_R,Inferior Frontal Gyrus,AAL
Right Pericalcarine,,,,UNDETERMINED
Right Postcentral,,Postcentral_R,Postcentral Gyrus,AAL
Right Posterior Cingulate,"Right Cingulate Gyrus, posterior division",Cingulum_Post_R,Posterior Cingulate,AAL
Icv,,,,UNDETERMINED
Right Precentral,,Precentral_R,Precentral Gyrus,AAL
Right Precuneus,,Precuneus_R,Precuneus,AAL
Right Putamen,,Putamen_R,Putamen,AAL
Right Rostral Anterior Cingulate,"Right Cingulate Gyrus, anterior division",Cingulum_Ant_R,,AAL
Right Rostral Middle Frontal,Right Middle Frontal Gyrus,,Brodmann area 46,Talairach
Right Superior Frontal,Right Superior Frontal Gyrus,Frontal_Sup_R,Superior Frontal Gyrus,AAL
Right Superior Parietal,Right Superior Parietal Lobule,Parietal_Sup_R,Superior Parietal Lobule,AAL
Right Superior Temporal,"Right Superior Temporal Gyrus, anterior division+Right Superior Temporal Gyrus, posterior division",Temporal_Sup_R,Superior Temporal Gyrus,AAL
Right Supramarginal,"Right Supramarginal Gyrus, anterior division+Right Supramarginal Gyrus, posterior division",SupraMarginal_R,Supramarginal Gyrus,AAL
Right Temporal Pole,Right Temporal Pole,Temporal_Pole_Mid_R,Brodmann area 38,Talairach
Left Accumbens Area,,,Hypothalamus,Talairach
Right Thalamus,,Thalamus_R,Thalamus,AAL
Right Transverse Temporal,"Right Middle Temporal Gyrus, anterior division",Temporal_Mid_R,Transverse Temporal Gyrus,AAL
Right Undetermined,,,,UNDETERMINED
Right Unknown,,,,UNDETERMINED
Right Ventral DC,,,,UNDETERMINED
Right Vessel,,,,UNDETERMINED
Right WM Hypo Intensities,,,,UNDETERMINED
Third Ventricle,,,Third Ventricle,Talairach
WM Hypo Intensities,,,,UNDETERMINED
Left Insula,Left Insular Cortex,Insula_L,Insula,AAL
Left Amygdala,,Amygdala_L,Amygdala,AAL
Right Insula,Right Insular Cortex,Insula_R,Insula,AAL
Left Bankssts,,,,UNDETERMINED
Left Caudal Anterior Cingulate,"Left Cingulate Gyrus, anterior division",Cingulum_Ant_L,Anterior Cingulate,AAL
Left Caudal Middle Frontal,Left Middle Frontal Gyrus,Frontal_Mid_L,Middle Frontal Gyrus,AAL
Left Caudate,,Caudate_L,Caudate,AAL
Left Cerebellum Cortex,,,Left Cerebellum,Talairach
Left Cerebellum WM,,,Left Cerebellum,Talairach
Left Cerebral Cortex,,,,UNDETERMINED
Brainstem,,,Left Brainstem+Right Brainstem,Talairach
Left Cerebral WM,,,,UNDETERMINED
Left Choroid Plexus,,,,UNDETERMINED
Left Corpus Callosum,,,Corpus Callosum,Talairach
Left Cuneus,Left Cuneal Cortex,Cuneus_L,Cuneus,AAL
Left Entorhinal,,,Brodmann area 28,Talairach
Left Frontal Pole,Left Frontal Pole,Temporal_Pole_Sup_L,Brodmann area 10,AAL
Left Fusiform,"Left Temporal Fusiform Cortex, anterior division+Left Temporal Fusiform Cortex, posterior division",Fusiform_L,Fusiform Gyrus,AAL
Left Hemisphere,,,,UNDETERMINED
Left Hemisphere WM,,,,UNDETERMINED
Left Hippocampus,,Hippocampus_L,Hippocampus,AAL
Corpus Callosum Anterior,,,Corpus Callosum,Talairach
Left Inferior Lateral Ventricle,,,Lateral Ventricle,Talairach
Left Inferior Parietal,,Parietal_Inf_L,Inferior Parietal Lobule,AAL
Left Inferior Temporal,"Left Inferior Temporal Gyrus, temporooccipital part+Left Inferior Temporal Gyrus, anterior division+Left Inferior Temporal Gyrus, posterior division",Temporal_Inf_L,Inferior Temporal Gyrus,AAL
Left Interior,,,,UNDETERMINED
Left Isthmus Cingulate,"Left Cingulate Gyrus, anterior division+Left Cingulate Gyrus, posterior division",,Brodmann area 29,Talairach
Left Lateral Occipital,"Left Lateral Occipital Cortex, superior division+Left Lateral Occipital Cortex, anterior division",Occipital_Mid_L,Occipital Lobe,AAL
